episode,goal_x,goal_y,total_reward,steps,goal_reached,entropy
1,3,1,3.0,12,1,1.3489365577697754
2,3,2,11.0,5,1,1.2772190570831299
3,4,2,-61.0,78,1,1.216774582862854
4,1,1,-103.0,100,0,1.081526517868042
5,2,4,-96.0,100,0,1.0639439821243286
6,0,2,-103.0,100,0,0.9852932095527649
7,3,1,3.0,12,1,0.9972489476203918
8,3,4,-30.0,48,1,0.9404589533805847
9,0,2,-102.0,100,0,0.8270900249481201
10,4,4,-68.0,87,1,0.8141233921051025
11,0,4,-100.0,100,0,0.7010253071784973
12,2,4,-99.0,100,0,0.6305288672447205
13,0,3,-102.0,100,0,0.837300181388855
14,3,4,-95.0,100,0,0.7963101267814636
15,0,3,-101.0,100,0,0.8989520072937012
16,1,0,11.0,1,1,1.0671086311340332
17,1,1,9.0,4,1,0.796305775642395
18,2,3,-98.0,100,0,0.8125133514404297
19,0,3,-102.0,100,0,0.9924927353858948
20,3,4,0.0,18,1,0.9646557569503784
21,1,0,10.0,2,1,0.9445652961730957
22,2,1,-101.0,100,0,0.9492858648300171
23,2,0,10.0,3,1,0.8944482803344727
24,0,2,-104.0,100,0,0.902281641960144
25,2,3,-98.0,100,0,0.7922647595405579
26,1,0,-105.0,100,0,0.9676220417022705
27,4,4,10.0,9,1,1.1155773401260376
28,3,2,10.0,6,1,1.0561763048171997
29,2,0,-102.0,100,0,1.0550031661987305
30,0,4,-101.0,100,0,1.0015220642089844
31,2,3,10.0,6,1,0.9120199084281921
32,0,2,-104.0,100,0,1.082701325416565
33,1,4,-98.0,100,0,1.1179859638214111
34,2,4,11.0,6,1,1.1646403074264526
35,1,1,-104.0,100,0,1.0606911182403564
36,4,2,-96.0,100,0,1.0517207384109497
37,2,3,-98.0,100,0,1.074072003364563
38,4,3,3.0,15,1,1.1777992248535156
39,2,1,7.0,7,1,1.1888816356658936
40,3,1,8.0,7,1,1.1957753896713257
41,4,3,-20.0,38,1,1.174819827079773
42,0,2,-103.0,100,0,1.162365436553955
43,2,0,11.0,2,1,1.2168880701065063
44,4,0,-100.0,100,0,1.183476209640503
45,2,0,-103.0,100,0,1.2187869548797607
46,2,1,11.0,3,1,1.2010388374328613
47,0,4,5.0,10,1,1.232387900352478
48,4,0,-99.0,100,0,1.1524922847747803
49,4,0,-100.0,100,0,1.1541333198547363
50,0,3,-102.0,100,0,1.152998924255371
51,2,3,-98.0,100,0,1.1331230401992798
52,1,4,-62.0,78,1,1.2038938999176025
53,2,1,-102.0,100,0,1.122731328010559
54,2,1,10.0,4,1,1.0912843942642212
55,2,0,-103.0,100,0,1.1634430885314941
56,2,4,11.0,6,1,1.1301772594451904
57,0,2,-104.0,100,0,1.1153720617294312
58,1,0,11.0,1,1,1.1716670989990234
59,3,4,-28.0,46,1,1.0736502408981323
60,2,3,-34.0,50,1,1.0726712942123413
61,3,4,-9.0,27,1,0.9603238701820374
62,1,0,10.0,2,1,1.0874900817871094
63,2,3,9.0,7,1,1.0358673334121704
64,2,0,-102.0,100,0,0.9682197570800781
65,2,3,-19.0,35,1,0.9702250957489014
66,0,4,6.0,9,1,0.9494103193283081
67,2,3,-32.0,48,1,0.9595327973365784
68,3,4,-96.0,100,0,0.8861790299415588
69,1,4,8.0,8,1,1.0674372911453247
70,2,1,-101.0,100,0,1.0415905714035034
71,3,1,-100.0,100,0,1.0679693222045898
72,2,0,-104.0,100,0,1.1078377962112427
73,4,0,-104.0,100,0,1.1312928199768066
74,3,4,10.0,8,1,1.173774242401123
75,4,1,-102.0,100,0,1.2890594005584717
76,0,4,7.0,8,1,1.3000932931900024
77,4,1,-101.0,100,0,1.2977124452590942
78,4,2,-99.0,100,0,1.2491260766983032
79,1,1,10.0,3,1,1.2475415468215942
80,0,2,-99.0,100,0,1.2151451110839844
81,2,1,-101.0,100,0,1.2379488945007324
82,2,1,8.0,6,1,1.2996777296066284
83,0,3,7.0,7,1,1.2178709506988525
84,0,3,5.0,9,1,1.2437880039215088
85,4,2,-100.0,100,0,1.0923583507537842
86,2,1,9.0,5,1,1.2062351703643799
87,2,3,-96.0,100,0,1.1168550252914429
88,3,1,-100.0,100,0,1.254294991493225
89,2,4,-19.0,36,1,1.1678850650787354
90,1,1,-15.0,28,1,1.1610050201416016
91,2,4,-44.0,61,1,1.1949760913848877
92,4,0,-103.0,100,0,1.0011610984802246
93,0,4,-54.0,69,1,1.1189749240875244
94,3,2,-99.0,100,0,1.2712702751159668
95,1,1,8.0,5,1,1.225741982460022
96,1,4,-14.0,30,1,1.2335995435714722
97,0,2,-74.0,87,1,1.2595027685165405
98,4,4,-67.0,86,1,1.2308694124221802
99,2,1,-35.0,49,1,1.2661731243133545
100,2,0,-102.0,100,0,1.26307213306427
101,1,0,11.0,1,1,1.3273162841796875
102,0,2,-102.0,100,0,1.2723926305770874
103,2,0,-99.0,100,0,1.3059585094451904
104,0,4,3.0,12,1,1.304642677307129
105,4,0,-104.0,100,0,1.2008061408996582
106,4,3,-96.0,100,0,1.2548232078552246
107,1,1,11.0,2,1,1.355121374130249
108,1,0,3.0,9,1,1.2785526514053345
109,4,0,-100.0,100,0,1.1579136848449707
110,4,4,-96.0,100,0,1.3103183507919312
111,4,1,-98.0,100,0,1.2655668258666992
112,2,0,-26.0,39,1,1.2594759464263916
113,3,2,-100.0,100,0,1.2590217590332031
114,4,2,-45.0,62,1,1.310722827911377
115,1,0,11.0,1,1,1.2826039791107178
116,0,3,-101.0,100,0,1.3600050210952759
117,4,0,-100.0,100,0,1.1948732137680054
118,4,2,-98.0,100,0,1.3297874927520752
119,2,3,-80.0,96,1,1.3109108209609985
120,2,1,6.0,8,1,1.35297429561615
121,4,3,1.0,17,1,1.3186777830123901
122,1,0,10.0,2,1,1.3248908519744873
123,0,4,-85.0,100,1,1.3504745960235596
124,1,0,7.0,5,1,1.3087106943130493
125,3,1,-12.0,27,1,1.2631611824035645
126,2,1,10.0,4,1,1.2860440015792847
127,4,4,9.0,10,1,1.241943597793579
128,1,0,-106.0,100,0,1.1733527183532715
129,4,2,-96.0,100,0,1.1474542617797852
130,4,3,-11.0,29,1,1.2566335201263428
131,0,4,-101.0,100,0,1.304780125617981
132,4,1,-62.0,78,1,1.3352068662643433
133,1,0,11.0,1,1,1.3055815696716309
134,0,2,11.0,2,1,1.2776423692703247
135,0,4,-42.0,57,1,1.3381285667419434
136,4,2,7.0,10,1,1.2762590646743774
137,4,3,6.0,12,1,1.3202439546585083
138,2,3,-98.0,100,0,1.3269189596176147
139,3,2,-44.0,60,1,1.257548213005066
140,1,0,10.0,2,1,1.3115479946136475
141,1,1,9.0,4,1,1.2758080959320068
142,2,1,11.0,3,1,1.2967844009399414
143,4,0,-103.0,100,0,1.3217037916183472
144,2,1,-9.0,23,1,1.3074960708618164
145,3,4,0.0,18,1,1.258618712425232
146,4,4,-23.0,42,1,1.241741418838501
147,3,2,-8.0,24,1,1.1622227430343628
148,4,1,10.0,6,1,1.2613410949707031
149,4,2,1.0,16,1,1.264176845550537
150,2,4,-97.0,100,0,1.2837433815002441
151,1,4,-38.0,54,1,1.2157254219055176
152,4,2,-8.0,25,1,1.210716962814331
153,1,0,11.0,1,1,1.3612892627716064
154,3,1,-16.0,31,1,1.1345751285552979
155,0,4,-12.0,27,1,1.2720530033111572
156,1,1,11.0,2,1,1.2875399589538574
157,4,4,-25.0,44,1,1.2110058069229126
158,0,2,-103.0,100,0,1.237144947052002
159,4,1,-50.0,66,1,1.2916220426559448
160,0,4,1.0,14,1,1.2643280029296875
161,4,2,-96.0,100,0,1.147660732269287
162,4,1,1.0,15,1,1.1943819522857666
163,4,1,-100.0,100,0,1.2415366172790527
164,2,0,-102.0,100,0,1.2394250631332397
165,2,4,-28.0,45,1,0.9908368587493896
166,1,1,11.0,2,1,1.2405341863632202
167,1,0,9.0,3,1,1.3266571760177612
168,1,4,5.0,11,1,1.1016576290130615
169,4,1,-102.0,100,0,1.2330836057662964
170,4,3,-98.0,100,0,0.9355092644691467
171,0,2,11.0,2,1,1.1602075099945068
172,3,2,11.0,5,1,1.0147343873977661
173,2,4,-37.0,54,1,0.9387364387512207
174,3,4,-96.0,100,0,0.9776703715324402
175,4,4,-1.0,20,1,1.1708388328552246
176,3,1,-101.0,100,0,1.1222093105316162
177,1,1,10.0,3,1,1.0619498491287231
178,0,3,8.0,6,1,0.9554166793823242
179,2,3,-97.0,100,0,1.136957049369812
180,4,3,-98.0,100,0,1.03532075881958
181,1,4,-16.0,32,1,1.129531979560852
182,2,1,-100.0,100,0,1.1459344625473022
183,2,0,9.0,4,1,1.250678539276123
184,4,2,-97.0,100,0,1.1809769868850708
185,2,3,8.0,8,1,1.2782706022262573
186,1,1,-102.0,100,0,1.140568494796753
187,0,3,-77.0,91,1,1.1490777730941772
188,4,0,-102.0,100,0,0.9893627762794495
189,0,2,7.0,6,1,1.2195886373519897
190,4,4,-21.0,40,1,1.1867619752883911
191,3,4,1.0,17,1,1.0960816144943237
192,4,4,-95.0,100,0,1.0676734447479248
193,0,3,-13.0,27,1,1.2029699087142944
194,3,4,-11.0,29,1,1.113958716392517
195,3,1,-78.0,93,1,1.2423075437545776
196,3,2,-100.0,100,0,1.1113930940628052
197,2,1,0.0,14,1,1.1773462295532227
198,4,3,-96.0,100,0,0.9031635522842407
199,0,4,-58.0,73,1,1.037680983543396
200,2,0,4.0,9,1,1.1368956565856934
201,4,1,-101.0,100,0,1.225439190864563
202,4,0,-100.0,100,0,0.8797922730445862
203,4,0,-104.0,100,0,0.8424040079116821
204,1,4,0.0,16,1,1.1930739879608154
205,3,1,-5.0,20,1,1.30258309841156
206,3,2,-100.0,100,0,1.0802801847457886
207,4,2,-38.0,55,1,1.156229853630066
208,3,1,11.0,4,1,1.279086709022522
209,3,2,-11.0,27,1,1.231921911239624
210,4,2,-96.0,100,0,1.1151152849197388
211,4,1,5.0,11,1,1.1766234636306763
212,1,4,-99.0,100,0,1.1488991975784302
213,2,1,-11.0,25,1,1.0995992422103882
214,1,1,-23.0,36,1,0.9166840314865112
215,4,1,6.0,10,1,1.1442553997039795
216,1,4,-30.0,46,1,1.0620384216308594
217,2,4,-97.0,100,0,0.973741352558136
218,0,2,-59.0,72,1,1.0697481632232666
219,2,3,-97.0,100,0,1.0121327638626099
220,4,3,-96.0,100,0,0.9196998476982117
221,4,2,-99.0,100,0,0.9329724311828613
222,0,2,-10.0,23,1,1.008357048034668
223,2,0,6.0,7,1,0.8722673058509827
224,3,4,-95.0,100,0,0.9020473957061768
225,1,4,-74.0,90,1,0.9611208438873291
226,4,2,-99.0,100,0,0.9329440593719482
227,3,2,-100.0,100,0,1.0761351585388184
228,0,4,-99.0,100,0,0.6906728148460388
229,2,3,-100.0,100,0,0.8821238875389099
230,2,1,4.0,10,1,1.0069305896759033
231,0,3,-2.0,16,1,1.0552618503570557
232,4,3,-97.0,100,0,0.75815749168396
233,3,1,-71.0,86,1,1.188626766204834
234,3,2,-99.0,100,0,1.0107365846633911
235,2,0,-23.0,36,1,0.843936562538147
236,4,3,-99.0,100,0,0.7175546884536743
237,0,4,-98.0,100,0,0.6324834823608398
238,4,3,-98.0,100,0,0.6777480244636536
239,4,3,-99.0,100,0,0.5839664340019226
240,2,4,-96.0,100,0,0.7937338948249817
241,1,0,4.0,8,1,0.6570031642913818
242,0,4,-97.0,100,0,0.5127142071723938
243,1,0,4.0,8,1,0.5512809157371521
244,0,4,-99.0,100,0,0.3995150327682495
245,3,4,-96.0,100,0,0.8313925266265869
246,1,1,6.0,7,1,0.7240330576896667
247,4,1,-99.0,100,0,0.7088063955307007
248,1,0,-101.0,100,0,0.3338598608970642
249,0,2,-15.0,28,1,0.8005477786064148
250,3,1,-100.0,100,0,0.7508794665336609
251,2,1,-102.0,100,0,0.5458606481552124
252,4,3,-99.0,100,0,0.3073026239871979
253,1,1,0.0,13,1,0.6266279816627502
254,1,4,-66.0,82,1,0.5561651587486267
255,1,0,11.0,1,1,0.35297685861587524
256,1,1,-23.0,36,1,0.5967984199523926
257,0,3,-4.0,18,1,0.7479854226112366
258,2,4,-98.0,100,0,0.5223645567893982
259,4,4,-96.0,100,0,0.689368486404419
260,1,0,10.0,2,1,0.41993847489356995
261,0,3,-30.0,44,1,0.7340714931488037
262,1,1,7.0,6,1,0.7484270930290222
263,4,3,-97.0,100,0,0.4484671354293823
264,4,2,-100.0,100,0,0.7820332050323486
265,4,2,-100.0,100,0,0.8002468943595886
266,0,4,-98.0,100,0,0.47535476088523865
267,1,1,-5.0,18,1,0.6920209527015686
268,2,3,-98.0,100,0,0.661435604095459
269,2,0,-104.0,100,0,0.7369078993797302
270,4,4,-94.0,100,0,0.9137316346168518
271,4,2,-100.0,100,0,0.8407205939292908
272,0,2,-8.0,21,1,0.9368476867675781
273,1,4,4.0,12,1,0.9323015809059143
274,3,2,-100.0,100,0,0.9157578945159912
275,4,4,-30.0,49,1,0.9274823069572449
276,2,3,-31.0,47,1,0.698740541934967
277,4,1,-100.0,100,0,0.8130635619163513
278,0,4,-101.0,100,0,0.6620097160339355
279,3,1,-102.0,100,0,0.9738887548446655
280,3,4,-20.0,38,1,0.8800877928733826
281,4,3,-56.0,74,1,0.7264331579208374
282,0,3,-99.0,100,0,0.9961557984352112
283,0,3,-101.0,100,0,1.000760555267334
284,1,1,-2.0,15,1,0.7767595052719116
285,2,0,9.0,4,1,0.9358454942703247
286,2,0,11.0,2,1,0.9117461442947388
287,4,4,-38.0,57,1,0.8660943508148193
288,2,1,4.0,10,1,0.8799378275871277
289,2,0,10.0,3,1,0.8694994449615479
290,4,2,1.0,16,1,0.7678302526473999
291,4,2,8.0,9,1,0.751530110836029
292,1,1,-102.0,100,0,0.6218966841697693
293,4,1,-98.0,100,0,0.8438308835029602
294,0,3,-101.0,100,0,0.8757085204124451
295,3,4,-23.0,41,1,0.6986503601074219
296,4,4,-30.0,49,1,0.6783320307731628
297,3,1,6.0,9,1,0.8798903822898865
298,2,3,-97.0,100,0,0.8246961236000061
299,0,3,-102.0,100,0,0.9320396184921265
300,3,4,-27.0,45,1,0.7468926906585693
301,1,0,11.0,1,1,0.7502825260162354
302,0,2,-102.0,100,0,0.911665678024292
303,4,0,11.0,4,1,0.7047339677810669
304,4,2,10.0,7,1,0.7476944923400879
305,3,4,-42.0,60,1,0.7003279328346252
306,4,1,-98.0,100,0,0.8435530662536621
307,2,4,-95.0,100,0,0.9394064545631409
308,2,1,-102.0,100,0,0.9321399927139282
309,3,4,-39.0,57,1,0.711530864238739
310,3,1,11.0,4,1,0.7458620071411133
311,2,0,11.0,2,1,0.659721314907074
312,3,4,-30.0,48,1,0.7292690277099609
313,3,2,11.0,5,1,0.9563026428222656
314,1,0,9.0,3,1,0.6233490705490112
315,1,0,11.0,1,1,0.5869707465171814
316,2,3,-19.0,35,1,0.7927718758583069
317,0,2,-103.0,100,0,0.9026843309402466
318,0,2,-103.0,100,0,0.9077268838882446
319,2,0,11.0,2,1,0.6301435828208923
320,2,0,11.0,2,1,0.6694107055664062
321,1,0,11.0,1,1,0.5859363675117493
322,0,2,-104.0,100,0,0.8991209268569946
323,1,0,11.0,1,1,0.6003235578536987
324,0,2,-102.0,100,0,0.8869231939315796
325,3,2,-98.0,100,0,0.905804455280304
326,4,2,10.0,7,1,0.7029300332069397
327,3,4,-7.0,25,1,0.6778861880302429
328,2,0,11.0,2,1,0.5790773630142212
329,0,3,-102.0,100,0,0.9723331928253174
330,4,1,-98.0,100,0,0.7365695834159851
331,3,1,1.0,14,1,0.8299700021743774
332,2,1,9.0,5,1,0.7178001403808594
333,2,1,-101.0,100,0,0.83537757396698
334,2,1,-102.0,100,0,0.8504009246826172
335,0,4,-100.0,100,0,0.8451420068740845
336,4,0,7.0,8,1,0.6273598670959473
337,4,2,1.0,16,1,0.8109437823295593
338,3,1,11.0,4,1,0.6607535481452942
339,4,3,8.0,10,1,0.6505845189094543
340,1,0,11.0,1,1,0.6209549307823181
341,3,1,-100.0,100,0,0.879550039768219
342,2,3,-98.0,100,0,0.8103573322296143
343,2,4,-30.0,47,1,0.910047173500061
344,3,4,-19.0,37,1,0.7282215356826782
345,1,4,-97.0,100,0,0.9813148379325867
346,0,2,-104.0,100,0,0.8995175361633301
347,0,4,-100.0,100,0,0.9750056266784668
348,3,2,10.0,6,1,0.8507919311523438
349,2,1,-102.0,100,0,0.9024326801300049
350,4,4,2.0,17,1,0.8650304675102234
351,4,0,9.0,6,1,0.7739973068237305
352,1,1,-104.0,100,0,0.7180364727973938
353,4,1,-98.0,100,0,0.8714032173156738
354,3,2,8.0,8,1,0.9524921178817749
355,0,4,-2.0,17,1,1.0039383172988892
356,4,4,7.0,12,1,0.826108455657959
357,1,0,10.0,2,1,0.7313584685325623
358,2,1,-102.0,100,0,0.915833592414856
359,4,3,8.0,10,1,0.8277446031570435
360,2,4,-3.0,20,1,0.92560875415802
361,1,4,-97.0,100,0,1.0178179740905762
362,0,4,3.0,12,1,0.9813485145568848
363,1,0,-103.0,100,0,0.8568137884140015
364,0,2,-103.0,100,0,1.009672999382019
365,3,1,-100.0,100,0,0.9823707342147827
366,1,1,-104.0,100,0,0.7282543778419495
367,0,4,3.0,12,1,1.0641270875930786
368,4,2,10.0,7,1,0.8900418877601624
369,0,4,-5.0,20,1,0.9867174029350281
370,0,3,-51.0,65,1,1.0053595304489136
371,1,0,11.0,1,1,0.8720022439956665
372,0,4,-15.0,30,1,1.0334819555282593
373,1,4,5.0,11,1,0.9466500878334045
374,3,1,11.0,4,1,0.8603317141532898
375,4,4,-2.0,21,1,0.950191855430603
376,2,3,-98.0,100,0,1.0470293760299683
377,0,3,-101.0,100,0,0.9932466745376587
378,1,0,9.0,3,1,0.8845508694648743
379,0,2,-104.0,100,0,1.031073808670044
380,0,3,-101.0,100,0,1.0262696743011475
381,3,1,-100.0,100,0,1.000722050666809
382,3,2,-98.0,100,0,1.0428670644760132
383,2,4,11.0,6,1,0.89650559425354
384,0,2,-102.0,100,0,1.0372244119644165
385,2,0,-103.0,100,0,1.0149176120758057
386,0,2,8.0,5,1,0.9198691248893738
387,0,2,-101.0,100,0,1.0225977897644043
388,0,4,-9.0,24,1,0.996881902217865
389,2,3,-98.0,100,0,0.9628875851631165
390,4,0,11.0,4,1,0.8101583123207092
391,4,3,8.0,10,1,0.783042848110199
392,2,0,-103.0,100,0,0.9843065738677979
393,2,0,11.0,2,1,0.707359790802002
394,2,0,10.0,3,1,0.6651208400726318
395,4,2,8.0,9,1,0.8198526501655579
396,2,4,4.0,13,1,0.8080002665519714
397,0,3,-101.0,100,0,0.9391947984695435
398,1,1,-104.0,100,0,0.5177235007286072
399,0,3,-102.0,100,0,0.8702781796455383
400,3,1,-100.0,100,0,0.7501423358917236
401,3,4,-75.0,93,1,0.4948035478591919
402,0,2,-104.0,100,0,0.899687647819519
403,2,1,-102.0,100,0,0.7906208038330078
404,2,1,11.0,3,1,0.5539650917053223
405,2,4,-50.0,67,1,0.8043601512908936
406,4,2,-8.0,25,1,0.712658703327179
407,2,1,-102.0,100,0,0.7653549313545227
408,4,0,11.0,4,1,0.5804554224014282
409,0,3,-102.0,100,0,0.784913957118988
410,4,2,8.0,9,1,0.609532356262207
411,3,4,-20.0,38,1,0.5565032958984375
412,4,3,1.0,17,1,0.5804165601730347
413,1,4,-98.0,100,0,0.8159605264663696
414,2,0,11.0,2,1,0.44508096575737
415,4,1,-24.0,40,1,0.38984304666519165
416,0,3,-102.0,100,0,0.5637349486351013
417,1,4,-97.0,100,0,0.7535764575004578
418,4,4,-94.0,100,0,0.6345607042312622
419,2,4,-96.0,100,0,0.7541701793670654
420,3,1,7.0,8,1,0.6569640636444092
421,2,4,-43.0,60,1,0.785480260848999
422,2,4,-74.0,91,1,0.8134722113609314
423,4,2,-23.0,40,1,0.7029981017112732
424,2,1,-102.0,100,0,0.7899094223976135
425,2,4,-26.0,43,1,0.8651575446128845
426,2,1,10.0,4,1,0.7347841262817383
427,3,2,-99.0,100,0,0.9230794310569763
428,0,4,-20.0,35,1,0.9046233296394348
429,3,4,-7.0,25,1,0.7230172753334045
430,2,3,-97.0,100,0,0.8572450876235962
431,3,2,5.0,11,1,0.9960037469863892
432,0,2,-103.0,100,0,0.9235722422599792
433,3,1,11.0,4,1,0.628711462020874
434,4,0,7.0,8,1,0.7530102729797363
435,4,3,-15.0,33,1,0.8548544049263
436,4,3,-5.0,23,1,0.8339685201644897
437,4,1,-2.0,18,1,0.7623583078384399
438,3,4,-12.0,30,1,0.7850955724716187
439,2,4,-4.0,21,1,0.9647817015647888
440,1,1,10.0,3,1,0.613025426864624
441,2,0,-104.0,100,0,0.9738945960998535
442,2,1,9.0,5,1,0.9801244735717773
443,0,2,-103.0,100,0,0.9951289296150208
444,1,1,-103.0,100,0,0.861696183681488
445,3,4,-12.0,30,1,0.896026611328125
446,3,2,-100.0,100,0,1.0447734594345093
447,3,1,11.0,4,1,1.0900630950927734
448,3,1,-99.0,100,0,1.0859687328338623
449,4,2,-99.0,100,0,1.06168794631958
450,4,1,-102.0,100,0,1.0463776588439941
451,0,3,-99.0,100,0,1.0804823637008667
452,4,0,-104.0,100,0,0.8950366973876953
453,3,4,-7.0,25,1,1.0586661100387573
454,2,0,-104.0,100,0,1.048858880996704
455,4,2,-99.0,100,0,1.0718122720718384
456,4,2,-100.0,100,0,1.041406512260437
457,0,2,9.0,4,1,1.0704717636108398
458,3,2,-99.0,100,0,1.0137901306152344
459,0,3,3.0,11,1,1.0222526788711548
460,0,2,9.0,4,1,1.0832414627075195
461,2,1,10.0,4,1,1.0693185329437256
462,0,3,7.0,7,1,1.0122349262237549
463,4,4,-73.0,92,1,0.8983885049819946
464,3,2,-99.0,100,0,1.01482355594635
465,4,2,-99.0,100,0,0.9904161095619202
466,1,4,-11.0,27,1,0.8347814083099365
467,3,1,-102.0,100,0,1.0622638463974
468,1,4,-3.0,19,1,0.9964821338653564
469,4,2,-98.0,100,0,0.9853051900863647
470,1,0,9.0,3,1,0.8432009220123291
471,0,2,9.0,4,1,1.142569661140442
472,0,3,4.0,10,1,1.036819577217102
473,4,3,-98.0,100,0,0.9610467553138733
474,4,2,-99.0,100,0,1.0013962984085083
475,0,3,-21.0,35,1,1.0443710088729858
476,2,0,-103.0,100,0,1.0422111749649048
477,1,0,11.0,1,1,1.0221571922302246
478,2,3,-98.0,100,0,1.053627371788025
479,4,4,-13.0,32,1,1.0282634496688843
480,0,4,-5.0,20,1,0.8967501521110535
481,3,1,7.0,8,1,1.0672152042388916
482,0,2,8.0,5,1,1.0956920385360718
483,1,0,10.0,2,1,1.0262140035629272
484,4,2,-99.0,100,0,1.0244665145874023
485,1,4,3.0,13,1,1.054624080657959
486,2,0,-104.0,100,0,1.0901721715927124
487,1,0,9.0,3,1,1.03891122341156
488,3,4,-2.0,20,1,1.0246806144714355
489,0,3,-98.0,100,0,1.0118106603622437
490,3,1,-100.0,100,0,1.0941731929779053
491,3,4,6.0,12,1,0.9992213845252991
492,1,0,-103.0,100,0,0.9521943926811218
493,2,4,6.0,11,1,1.0048363208770752
494,0,4,-16.0,31,1,0.9757026433944702
495,4,2,11.0,6,1,1.0237338542938232
496,3,1,6.0,9,1,1.0353158712387085
497,1,4,-8.0,24,1,1.0805858373641968
498,4,4,4.0,15,1,0.9526177644729614
499,0,4,-4.0,19,1,1.0967565774917603
