episode,goal_x,goal_y,total_reward,steps,goal_reached,entropy
1,3,1,-1.0,12,1,1.3489365577697754
2,3,2,6.0,5,1,1.287323236465454
3,4,2,-29.0,40,1,1.1993472576141357
4,1,1,-100.0,100,0,1.0483380556106567
5,2,4,-100.0,100,0,1.1440272331237793
6,0,2,-100.0,100,0,1.1601972579956055
7,3,1,-100.0,100,0,1.198911190032959
8,3,4,4.0,7,1,1.152616262435913
9,0,2,9.0,2,1,1.0581226348876953
10,4,4,-1.0,12,1,1.1539582014083862
11,0,4,-100.0,100,0,1.0080270767211914
12,2,4,-17.0,28,1,1.0227402448654175
13,0,3,-100.0,100,0,1.0402486324310303
14,3,4,0.0,11,1,0.9846872687339783
15,0,3,8.0,3,1,0.9471077919006348
16,1,0,-100.0,100,0,0.9933374524116516
17,1,1,9.0,2,1,0.9368515610694885
18,2,3,-84.0,95,1,0.890251874923706
19,0,3,-100.0,100,0,0.9736515283584595
20,3,4,-24.0,35,1,1.0049762725830078
21,1,0,10.0,1,1,1.0126299858093262
22,2,1,8.0,3,1,0.9109553694725037
23,2,0,-100.0,100,0,0.9038560390472412
24,0,2,-100.0,100,0,0.939918041229248
25,2,3,-100.0,100,0,0.7819100022315979
26,1,0,10.0,1,1,0.9536387920379639
27,4,4,-36.0,47,1,0.8363288044929504
28,3,2,-100.0,100,0,0.740771472454071
29,2,0,9.0,2,1,0.7096355557441711
30,0,4,-100.0,100,0,0.57650226354599
31,2,3,-100.0,100,0,0.5040990710258484
32,0,2,-100.0,100,0,0.7279768586158752
33,1,4,-100.0,100,0,0.8135356307029724
34,2,4,-100.0,100,0,0.6869050860404968
35,1,1,-100.0,100,0,0.665618360042572
36,4,2,-14.0,25,1,0.4190175235271454
37,2,3,-100.0,100,0,0.3376895487308502
38,4,3,-25.0,36,1,0.3253081738948822
39,2,1,-100.0,100,0,0.5539151430130005
40,3,1,5.0,6,1,0.5342940092086792
41,4,3,-42.0,53,1,0.3601405918598175
42,0,2,-100.0,100,0,0.5937625169754028
43,2,0,7.0,4,1,0.4940037727355957
44,4,0,-100.0,100,0,0.7778333425521851
45,2,0,9.0,2,1,0.39502382278442383
46,2,1,-100.0,100,0,0.4519682824611664
47,0,4,-100.0,100,0,0.2801145613193512
48,4,0,7.0,4,1,0.48597678542137146
49,4,0,-100.0,100,0,0.49946337938308716
50,0,3,-100.0,100,0,0.5104463696479797
51,2,3,-100.0,100,0,0.18240313231945038
52,1,4,-100.0,100,0,0.4340195059776306
53,2,1,-100.0,100,0,0.27651700377464294
54,2,1,8.0,3,1,0.4532635509967804
55,2,0,9.0,2,1,0.2200028896331787
56,2,4,-100.0,100,0,0.215609610080719
57,0,2,-100.0,100,0,0.24017134308815002
58,1,0,10.0,1,1,0.36267679929733276
59,3,4,-100.0,100,0,0.21949155628681183
60,2,3,-100.0,100,0,0.14389891922473907
61,3,4,-100.0,100,0,0.23522105813026428
62,1,0,10.0,1,1,0.34025317430496216
63,2,3,-100.0,100,0,0.1729554682970047
64,2,0,9.0,2,1,0.22263213992118835
65,2,3,-100.0,100,0,0.1382104456424713
66,0,4,-100.0,100,0,0.12891682982444763
67,2,3,-100.0,100,0,0.11551789194345474
68,3,4,-33.0,44,1,0.26040947437286377
69,1,4,-100.0,100,0,0.19151198863983154
70,2,1,8.0,3,1,0.30597221851348877
71,3,1,-82.0,93,1,0.24376189708709717
72,2,0,9.0,2,1,0.23623010516166687
73,4,0,-100.0,100,0,0.16131354868412018
74,3,4,-100.0,100,0,0.21501921117305756
75,4,1,-100.0,100,0,0.11207538843154907
76,0,4,-100.0,100,0,0.11389879882335663
77,4,1,-26.0,37,1,0.12160152941942215
78,4,2,0.0,11,1,0.14419713616371155
79,1,1,-100.0,100,0,0.31600987911224365
80,0,2,-100.0,100,0,0.2186436653137207
81,2,1,-100.0,100,0,0.17411860823631287
82,2,1,-100.0,100,0,0.28559935092926025
83,0,3,-100.0,100,0,0.3421761691570282
84,0,3,-100.0,100,0,0.307046502828598
85,4,2,-100.0,100,0,0.1565583348274231
86,2,1,-100.0,100,0,0.2317618876695633
87,2,3,-100.0,100,0,0.15195338428020477
88,3,1,-100.0,100,0,0.3192239999771118
89,2,4,-100.0,100,0,0.15545804798603058
90,1,1,-100.0,100,0,0.1669381707906723
91,2,4,-100.0,100,0,0.14781272411346436
92,4,0,-100.0,100,0,0.1813983917236328
93,0,4,-100.0,100,0,0.19402532279491425
94,3,2,-100.0,100,0,0.22279104590415955
95,1,1,-100.0,100,0,0.27092692255973816
96,1,4,-100.0,100,0,0.2337573617696762
97,0,2,-100.0,100,0,0.1764925718307495
98,4,4,-100.0,100,0,0.3242828845977783
99,2,1,-100.0,100,0,0.2119612693786621
100,2,0,9.0,2,1,0.2592008709907532
101,1,0,10.0,1,1,0.39052867889404297
102,0,2,-100.0,100,0,0.2455918937921524
103,2,0,9.0,2,1,0.3616619408130646
104,0,4,-100.0,100,0,0.17107056081295013
105,4,0,7.0,4,1,0.38537725806236267
106,4,3,-100.0,100,0,0.14260226488113403
107,1,1,-100.0,100,0,0.3650733530521393
108,1,0,10.0,1,1,0.4859943985939026
109,4,0,7.0,4,1,0.2848075032234192
110,4,4,-62.0,73,1,0.2790703773498535
111,4,1,-4.0,15,1,0.3143005073070526
112,2,0,9.0,2,1,0.3141840100288391
113,3,2,-100.0,100,0,0.2831088602542877
114,4,2,-24.0,35,1,0.28787097334861755
115,1,0,10.0,1,1,0.40641891956329346
116,0,3,-100.0,100,0,0.47532323002815247
117,4,0,7.0,4,1,0.3104276657104492
118,4,2,-15.0,26,1,0.23106776177883148
119,2,3,-100.0,100,0,0.21613159775733948
120,2,1,8.0,3,1,0.4655022621154785
121,4,3,-100.0,100,0,0.14359256625175476
122,1,0,10.0,1,1,0.4349147081375122
123,0,4,-100.0,100,0,0.3057856857776642
124,1,0,10.0,1,1,0.40887635946273804
125,3,1,-87.0,98,1,0.44586920738220215
126,2,1,-100.0,100,0,0.37011975049972534
127,4,4,-75.0,86,1,0.4009450078010559
128,1,0,9.0,2,1,0.5402703285217285
129,4,2,-22.0,33,1,0.3958459794521332
130,4,3,-100.0,100,0,0.2039598822593689
131,0,4,-100.0,100,0,0.3692620098590851
132,4,1,2.0,9,1,0.6086739301681519
133,1,0,10.0,1,1,0.753670871257782
134,0,2,-100.0,100,0,0.6282860636711121
135,0,4,-100.0,100,0,0.5398187041282654
136,4,2,-24.0,35,1,0.6804622411727905
137,4,3,-87.0,98,1,0.3493320941925049
138,2,3,-100.0,100,0,0.7013603448867798
139,3,2,-100.0,100,0,0.6621472835540771
140,1,0,-100.0,100,0,0.8059923648834229
141,1,1,-100.0,100,0,0.8446168303489685
142,2,1,8.0,3,1,0.9342939853668213
143,4,0,5.0,6,1,0.7565905451774597
144,2,1,-100.0,100,0,0.8424868583679199
145,3,4,-19.0,30,1,0.992641806602478
146,4,4,-1.0,12,1,1.0438312292099
147,3,2,-3.0,14,1,0.9114357233047485
148,4,1,-100.0,100,0,1.0847845077514648
149,4,2,-5.0,16,1,0.9377478957176208
150,2,4,-100.0,100,0,0.8849742412567139
151,1,4,-5.0,16,1,1.016705870628357
152,4,2,-100.0,100,0,1.0575456619262695
153,1,0,-100.0,100,0,1.0293378829956055
154,3,1,-100.0,100,0,0.9865681529045105
155,0,4,-17.0,28,1,0.9825993776321411
156,1,1,9.0,2,1,0.9572371244430542
157,4,4,-14.0,25,1,1.081949234008789
158,0,2,-100.0,100,0,0.8724998235702515
159,4,1,2.0,9,1,1.0545333623886108
160,0,4,-63.0,74,1,0.9759778380393982
161,4,2,5.0,6,1,1.016438364982605
162,4,1,-100.0,100,0,1.0649352073669434
163,4,1,-100.0,100,0,1.0718406438827515
164,2,0,-100.0,100,0,1.062207579612732
165,2,4,-27.0,38,1,1.0185234546661377
166,1,1,-100.0,100,0,1.069664478302002
167,1,0,10.0,1,1,0.9470977187156677
168,1,4,-9.0,20,1,1.0583471059799194
169,4,1,-100.0,100,0,1.0736976861953735
170,4,3,-100.0,100,0,1.0337016582489014
171,0,2,-100.0,100,0,0.8269678354263306
172,3,2,-100.0,100,0,0.8171340823173523
173,2,4,-29.0,40,1,0.8965221643447876
174,3,4,-1.0,12,1,1.006219506263733
175,4,4,-4.0,15,1,1.0610703229904175
176,3,1,-100.0,100,0,0.8801209926605225
177,1,1,-100.0,100,0,0.7620373368263245
178,0,3,-100.0,100,0,1.02021324634552
179,2,3,-100.0,100,0,0.7849034070968628
180,4,3,-100.0,100,0,0.4766063690185547
181,1,4,-100.0,100,0,0.8682054877281189
182,2,1,-100.0,100,0,0.6904798746109009
183,2,0,9.0,2,1,0.4414137601852417
184,4,2,-37.0,48,1,0.471730500459671
185,2,3,-100.0,100,0,0.44855645298957825
186,1,1,-100.0,100,0,0.42897579073905945
187,0,3,-100.0,100,0,0.6009921431541443
188,4,0,-100.0,100,0,0.24132654070854187
189,0,2,-100.0,100,0,0.3803914189338684
190,4,4,-58.0,69,1,0.6882705092430115
191,3,4,-13.0,24,1,0.42534807324409485
192,4,4,-100.0,100,0,0.41594788432121277
193,0,3,-100.0,100,0,0.512296199798584
194,3,4,-47.0,58,1,0.3895128071308136
195,3,1,7.0,4,1,0.35002201795578003
196,3,2,-40.0,51,1,0.3697397708892822
197,2,1,8.0,3,1,0.48645082116127014
198,4,3,-40.0,51,1,0.2781738340854645
199,0,4,-100.0,100,0,0.45640698075294495
200,2,0,9.0,2,1,0.38595062494277954
201,4,1,6.0,5,1,0.568068265914917
202,4,0,7.0,4,1,0.4176482856273651
203,4,0,7.0,4,1,0.4051937460899353
